,datetime,id_producto,id_sucursal,unidades_vendidas,precio_producto,venta_total
38,12/03/2024 04:00,42,1,16,38.36,613.76
39,28/02/2024 07:00,172,5,1,24.98,24.98
40,03/02/2024 07:00,170,3,8,23.39,187.12
41,22/01/2024 00:00,63,1,12,15.08,180.96
42,12/03/2024 19:00,164,5,3,13.29,39.87
43,15/02/2024 23:00,199,3,7,27.61,193.27
44,03/02/2024 00:00,7,5,12,44.48,533.76
45,10/01/2024 20:00,13,2,9,48.12,433.08
46,05/03/2024 22:00,116,5,3,45.0,135.0
47,13/02/2024 02:00,135,5,17,44.62,758.54
48,30/01/2024 11:00,197,1,15,45.09,676.35
49,16/03/2024 06:00,169,2,7,43.58,305.06
50,11/01/2024 00:00,38,2,17,24.56,417.52
51,04/03/2024 01:00,123,3,1,18.99,18.99
52,05/01/2024 16:00,136,4,6,12.31,73.86
53,29/03/2024 12:00,167,4,6,9.44,56.64
54,14/03/2024 14:00,102,2,7,5.44,38.08
55,28/02/2024 06:00,14,3,18,39.8,716.4
56,02/03/2024 20:00,13,2,18,48.12,866.16
57,04/03/2024 03:00,172,5,14,24.98,349.72
58,27/03/2024 06:00,186,3,19,8.87,168.53
59,24/02/2024 09:00,133,5,18,43.97,791.46
60,25/02/2024 14:00,100,5,4,39.91,159.64
61,07/02/2024 05:00,114,6,12,10.17,122.04
62,13/01/2024 05:00,51,1,9,41.37,372.33
63,17/03/2024 23:00,188,6,3,48.08,144.24
64,23/03/2024 07:00,95,6,14,15.39,215.46
65,26/02/2024 03:00,161,3,5,39.7,198.5
66,09/03/2024 20:00,187,1,12,7.18,86.16
67,04/03/2024 11:00,27,1,7,41.84,292.88
68,11/01/2024 06:00,29,5,6,7.51,45.06
69,14/03/2024 14:00,186,4,12,8.87,106.44
70,08/01/2024 20:00,82,1,12,24.33,291.96
71,28/03/2024 04:00,15,4,12,17.16,205.92
72,30/03/2024 23:00,51,3,18,41.37,744.66
73,22/02/2024 18:00,95,5,5,15.39,76.95
74,05/03/2024 00:00,188,5,6,48.08,288.48
75,28/03/2024 22:00,29,3,11,7.51,82.61
76,17/02/2024 02:00,82,1,6,24.33,145.98
77,15/01/2024 14:00,19,3,2,6.37,12.74
78,13/03/2024 07:00,16,6,13,23.36,303.68
79,26/01/2024 21:00,153,5,13,31.84,413.92
80,26/01/2024 09:00,134,6,4,39.38,157.52
81,23/01/2024 06:00,74,6,14,12.92,180.88
82,18/03/2024 12:00,30,1,13,16.07,208.91
83,13/03/2024 11:00,82,2,7,24.33,170.31
84,19/01/2024 02:00,7,1,19,44.48,845.12
85,12/01/2024 03:00,22,3,13,39.15,508.95
86,29/02/2024 02:00,172,4,12,24.98,299.76
87,17/01/2024 07:00,82,3,17,24.33,413.61
88,19/02/2024 20:00,155,3,14,11.46,160.44
89,08/01/2024 03:00,176,5,17,38.18,649.06
90,25/01/2024 23:00,28,4,6,11.75,70.5
91,24/03/2024 01:00,192,4,12,48.28,579.36
92,22/02/2024 05:00,195,3,5,12.33,61.65
93,30/01/2024 06:00,74,6,15,12.92,193.8
94,14/01/2024 09:00,162,1,6,17.61,105.66
95,11/01/2024 14:00,14,6,3,39.8,119.4
96,22/03/2024 05:00,161,2,5,39.7,198.5
97,13/03/2024 21:00,129,2,14,43.01,602.14
98,09/03/2024 02:00,190,3,6,19.54,117.24
99,13/01/2024 06:00,35,3,5,17.52,87.6
100,24/03/2024 09:00,79,6,6,18.57,111.42
101,27/03/2024 08:00,172,4,5,24.98,124.9
102,08/03/2024 12:00,49,6,6,45.69,274.14
103,03/01/2024 22:00,177,3,12,44.6,535.2
104,28/03/2024 19:00,12,5,16,24.54,392.64
105,27/02/2024 16:00,192,1,19,48.28,917.32
106,11/02/2024 13:00,3,3,1,43.83,43.83
107,24/02/2024 21:00,166,5,7,13.19,92.33
108,29/03/2024 12:00,142,3,12,45.45,545.4
109,02/01/2024 11:00,115,4,3,16.47,49.41
110,18/01/2024 06:00,146,2,1,40.18,40.18
111,02/02/2024 10:00,187,1,7,7.18,50.26
112,09/02/2024 10:00,200,5,1,43.58,43.58
113,13/03/2024 14:00,62,1,4,21.69,86.76
114,29/01/2024 23:00,9,3,6,22.66,135.96
115,04/01/2024 02:00,115,4,13,16.47,214.11
116,14/02/2024 18:00,61,6,7,49.3,345.1
117,06/01/2024 19:00,24,4,11,48.39,532.29
118,01/01/2024 16:00,47,6,14,12.5,175.0
119,30/01/2024 13:00,65,6,10,43.76,437.6
120,18/02/2024 13:00,107,1,14,14.29,200.06
121,03/02/2024 15:00,82,3,16,24.33,389.28
122,25/01/2024 20:00,59,3,7,29.11,203.77
123,21/01/2024 20:00,67,6,14,8.2,114.8
124,20/03/2024 23:00,77,5,8,29.35,234.8
125,18/02/2024 06:00,122,2,1,14.02,14.02
126,03/01/2024 22:00,79,3,16,18.57,297.12
127,13/01/2024 08:00,155,1,9,11.46,103.14
128,09/02/2024 11:00,17,1,6,7.95,47.7
129,02/02/2024 16:00,154,1,10,13.2,132.0
130,04/03/2024 07:00,39,1,15,11.03,165.45
131,24/02/2024 19:00,187,1,16,7.18,114.88
132,30/01/2024 07:00,7,5,11,44.48,489.28
133,08/03/2024 21:00,76,3,8,20.63,165.04
134,12/01/2024 11:00,22,6,15,39.15,587.25
135,20/03/2024 12:00,9,2,13,22.66,294.58
136,18/03/2024 14:00,133,2,5,43.97,219.85
137,11/03/2024 03:00,16,1,9,23.36,210.24
138,03/01/2024 01:00,4,2,6,16.27,97.62
139,21/01/2024 21:00,6,1,19,18.54,352.26
140,12/02/2024 04:00,62,3,11,21.69,238.59
141,05/01/2024 05:00,181,6,9,39.78,358.02
142,18/02/2024 12:00,13,3,18,48.12,866.16
143,16/03/2024 08:00,29,3,17,7.51,127.67
144,09/03/2024 20:00,85,5,14,22.39,313.46
145,28/03/2024 17:00,66,1,16,6.35,101.6
146,29/01/2024 05:00,15,3,9,17.16,154.44
147,24/02/2024 08:00,6,4,9,18.54,166.86
148,02/01/2024 20:00,182,3,17,22.32,379.44
149,28/03/2024 14:00,70,5,2,10.27,20.54
150,26/03/2024 01:00,7,2,15,44.48,667.2
151,02/03/2024 23:00,114,3,16,10.17,162.72
152,28/03/2024 05:00,21,4,8,25.27,202.16
153,06/01/2024 11:00,92,1,10,27.3,273.0
154,13/03/2024 21:00,17,4,14,7.95,111.3
155,13/02/2024 00:00,145,6,13,10.82,140.66
156,04/02/2024 22:00,30,5,9,16.07,144.63
157,10/01/2024 03:00,125,6,14,28.47,398.58
158,14/03/2024 23:00,67,3,6,8.2,49.2
159,23/01/2024 08:00,71,3,15,45.9,688.5
160,24/02/2024 00:00,132,4,17,30.97,526.49
161,12/03/2024 08:00,143,2,8,24.46,195.68
162,13/01/2024 18:00,62,4,4,21.69,86.76
163,08/02/2024 02:00,179,2,4,13.33,53.32
164,23/01/2024 02:00,165,1,13,26.5,344.5
165,26/01/2024 15:00,196,1,7,44.61,312.27
166,06/03/2024 00:00,68,2,19,15.56,295.64
167,25/03/2024 21:00,45,3,10,12.19,121.9
168,23/02/2024 03:00,113,4,3,35.38,106.14
169,16/01/2024 10:00,83,5,10,31.63,316.3
170,27/01/2024 21:00,4,2,6,16.27,97.62
171,09/03/2024 16:00,196,4,13,44.61,579.93
172,07/03/2024 06:00,95,2,6,15.39,92.34
173,04/02/2024 02:00,166,2,4,13.19,52.76
174,02/02/2024 11:00,137,1,18,42.54,765.72
175,05/02/2024 11:00,170,3,12,23.39,280.68
176,13/01/2024 19:00,160,1,6,41.32,247.92
177,02/01/2024 05:00,29,3,18,7.51,135.18
178,06/01/2024 02:00,123,1,6,18.99,113.94
179,19/03/2024 16:00,189,2,18,18.82,338.76
180,12/01/2024 07:00,158,5,15,12.76,191.4
181,08/02/2024 09:00,22,1,12,39.15,469.8
182,02/01/2024 19:00,178,5,19,5.4,102.6
183,06/03/2024 02:00,184,3,9,14.59,131.31
184,16/02/2024 03:00,76,2,2,20.63,41.26
185,24/02/2024 01:00,129,2,12,43.01,516.12
186,19/01/2024 10:00,32,6,16,22.61,361.76
187,28/01/2024 13:00,167,5,15,9.44,141.6
188,10/03/2024 01:00,165,2,8,26.5,212.0
189,30/03/2024 11:00,47,4,11,12.5,137.5
190,02/02/2024 09:00,196,2,17,44.61,758.37
191,05/02/2024 10:00,18,6,16,38.92,622.72
192,15/01/2024 00:00,104,2,19,43.73,830.87
193,19/02/2024 01:00,96,2,4,41.18,164.72
194,29/03/2024 07:00,80,4,18,28.01,504.18
195,03/03/2024 06:00,21,6,8,25.27,202.16
196,09/01/2024 19:00,1,3,1,12.57,12.57
197,24/03/2024 02:00,94,5,5,39.41,197.05
198,03/01/2024 14:00,161,6,17,39.7,674.9
199,25/01/2024 08:00,75,4,19,23.32,443.08
200,12/03/2024 11:00,109,4,16,15.15,242.4
201,17/03/2024 00:00,164,4,15,13.29,199.35
202,22/01/2024 17:00,185,5,2,48.59,97.18
203,12/02/2024 09:00,113,1,16,35.38,566.08
204,09/03/2024 09:00,23,3,17,48.48,824.16
205,28/03/2024 20:00,120,4,13,38.52,500.76
206,15/02/2024 12:00,118,5,13,47.75,620.75
207,26/03/2024 02:00,110,5,17,23.76,403.92
208,14/03/2024 04:00,164,6,16,13.29,212.64
209,26/03/2024 07:00,111,6,17,9.66,164.22
210,13/01/2024 12:00,9,6,6,22.66,135.96
211,16/01/2024 23:00,122,2,19,14.02,266.38
212,23/03/2024 18:00,25,2,5,7.56,37.8
213,16/01/2024 05:00,194,6,11,41.41,455.51
214,23/01/2024 13:00,34,6,16,46.93,750.88
215,28/01/2024 20:00,116,6,4,45.0,180.0
216,27/02/2024 15:00,43,4,7,34.11,238.77
217,02/03/2024 17:00,78,4,8,7.01,56.08
218,20/01/2024 16:00,189,4,1,18.82,18.82
219,04/03/2024 10:00,56,4,7,42.76,299.32
220,07/02/2024 02:00,37,3,13,16.49,214.37
221,04/02/2024 12:00,30,2,16,16.07,257.12
222,04/01/2024 21:00,198,1,11,38.55,424.05
223,02/03/2024 20:00,149,3,14,36.9,516.6
224,09/01/2024 05:00,11,5,1,38.17,38.17
225,09/02/2024 06:00,5,3,4,11.16,44.64
226,14/01/2024 18:00,65,4,17,43.76,743.92
227,06/03/2024 06:00,69,4,4,13.84,55.36
228,24/01/2024 11:00,1,4,17,12.57,213.69
229,03/01/2024 10:00,183,2,7,49.72,348.04
230,10/03/2024 02:00,16,6,10,23.36,233.6
231,17/02/2024 07:00,97,1,2,21.63,43.26
232,19/02/2024 20:00,126,6,19,26.75,508.25
233,08/02/2024 09:00,145,3,12,10.82,129.84
234,19/01/2024 14:00,197,5,19,45.09,856.71
235,01/03/2024 18:00,33,3,1,15.75,15.75
236,17/03/2024 12:00,189,2,19,18.82,357.58
237,27/02/2024 15:00,147,5,5,25.1,125.5
238,24/02/2024 23:00,71,4,5,45.9,229.5
239,08/03/2024 08:00,57,6,17,14.67,249.39
240,27/03/2024 10:00,85,4,7,22.39,156.73
241,11/03/2024 04:00,18,1,16,38.92,622.72
242,03/03/2024 14:00,92,3,14,27.3,382.2
243,04/03/2024 13:00,130,5,6,6.49,38.94
244,14/03/2024 22:00,184,1,14,14.59,204.26
245,02/01/2024 12:00,39,6,1,11.03,11.03
246,15/01/2024 19:00,153,4,18,31.84,573.12
247,28/03/2024 03:00,40,6,16,49.17,786.72
248,29/02/2024 04:00,156,2,13,20.16,262.08
249,20/02/2024 08:00,39,1,8,11.03,88.24
250,26/02/2024 05:00,6,6,1,18.54,18.54
251,27/03/2024 06:00,13,1,19,48.12,914.28
252,17/03/2024 23:00,143,4,4,24.46,97.84
253,19/02/2024 12:00,126,3,6,26.75,160.5
254,15/01/2024 02:00,188,3,9,48.08,432.72
255,21/01/2024 10:00,182,3,7,22.32,156.24
256,13/02/2024 10:00,134,1,15,39.38,590.7
257,07/03/2024 19:00,93,1,2,9.41,18.82
258,29/03/2024 19:00,90,3,5,39.4,197.0
259,17/01/2024 12:00,20,3,10,40.44,404.4
260,24/02/2024 06:00,91,5,8,5.72,45.76
261,28/02/2024 01:00,56,6,12,42.76,513.12
262,24/03/2024 03:00,145,2,1,10.82,10.82
263,20/03/2024 05:00,171,2,8,36.98,295.84
264,19/01/2024 06:00,76,4,16,20.63,330.08
265,18/03/2024 18:00,39,4,7,11.03,77.21
266,22/03/2024 12:00,89,5,19,45.14,857.66
267,10/01/2024 01:00,22,4,10,39.15,391.5
268,18/01/2024 15:00,98,3,9,42.93,386.37
269,01/03/2024 03:00,99,6,8,27.65,221.2
270,09/01/2024 04:00,72,2,1,41.41,41.41
271,07/03/2024 05:00,121,1,8,36.19,289.52
272,03/01/2024 12:00,33,3,3,15.75,47.25
273,21/01/2024 07:00,194,5,17,41.41,703.97
274,21/03/2024 15:00,94,4,11,39.41,433.51
275,13/03/2024 09:00,78,5,6,7.01,42.06
276,06/03/2024 16:00,26,4,8,44.75,358.0
277,01/03/2024 07:00,176,6,14,38.18,534.52
278,05/02/2024 11:00,89,4,1,45.14,45.14
279,29/02/2024 17:00,141,5,9,27.72,249.48
280,17/02/2024 02:00,158,1,3,12.76,38.28
281,27/03/2024 03:00,50,6,11,48.88,537.68
282,12/01/2024 20:00,126,2,11,26.75,294.25
283,01/02/2024 16:00,112,1,2,36.07,72.14
284,24/03/2024 21:00,103,3,7,34.36,240.52
285,30/01/2024 14:00,177,6,10,44.6,446.0
286,02/03/2024 05:00,15,4,14,17.16,240.24
287,19/02/2024 19:00,74,3,10,12.92,129.2
288,26/03/2024 08:00,68,6,11,15.56,171.16
289,30/01/2024 14:00,39,1,18,11.03,198.54
290,28/02/2024 18:00,18,6,5,38.92,194.6
291,20/01/2024 21:00,38,3,11,24.56,270.16
292,11/02/2024 22:00,122,2,16,14.02,224.32
293,17/02/2024 10:00,174,4,6,31.37,188.22
294,08/03/2024 05:00,69,3,8,13.84,110.72
295,26/02/2024 13:00,69,6,5,13.84,69.2
296,29/02/2024 21:00,184,3,6,14.59,87.54
297,05/02/2024 03:00,3,6,17,43.83,745.11
298,14/02/2024 01:00,116,4,17,45.0,765.0
299,02/02/2024 01:00,9,1,5,22.66,113.3
300,21/02/2024 16:00,190,1,19,19.54,371.26
301,07/03/2024 12:00,29,1,3,7.51,22.53
302,25/03/2024 19:00,80,3,17,28.01,476.17
303,10/03/2024 03:00,28,4,2,11.75,23.5
304,23/03/2024 13:00,73,5,15,41.28,619.2
305,08/03/2024 07:00,96,5,10,41.18,411.8
306,30/03/2024 02:00,74,4,12,12.92,155.04
307,16/03/2024 22:00,79,1,7,18.57,129.99
308,18/03/2024 15:00,133,3,1,43.97,43.97
309,15/02/2024 18:00,33,3,18,15.75,283.5
310,09/01/2024 20:00,121,6,17,36.19,615.23
311,28/02/2024 10:00,120,1,4,38.52,154.08
312,27/01/2024 11:00,97,6,13,21.63,281.19
313,05/02/2024 10:00,54,5,9,19.97,179.73
314,26/03/2024 01:00,97,1,16,21.63,346.08
315,16/03/2024 15:00,141,6,11,27.72,304.92
316,18/02/2024 17:00,41,4,4,31.03,124.12
317,16/03/2024 03:00,39,2,2,11.03,22.06
318,26/01/2024 13:00,48,1,12,19.86,238.32
319,29/03/2024 15:00,42,6,14,38.36,537.04
320,06/03/2024 07:00,146,2,16,40.18,642.88
321,12/03/2024 00:00,176,5,4,38.18,152.72
322,04/01/2024 03:00,85,2,10,22.39,223.9
323,09/03/2024 14:00,132,6,18,30.97,557.46
324,03/03/2024 08:00,67,1,2,8.2,16.4
325,07/02/2024 14:00,175,3,5,46.03,230.15
326,04/02/2024 06:00,9,3,16,22.66,362.56
327,03/02/2024 08:00,3,4,9,43.83,394.47
328,13/01/2024 08:00,112,5,11,36.07,396.77
329,17/01/2024 00:00,162,1,17,17.61,299.37
330,05/03/2024 05:00,135,2,12,44.62,535.44
331,03/01/2024 14:00,34,6,14,46.93,657.02
332,24/03/2024 13:00,61,4,4,49.3,197.2
333,15/02/2024 02:00,66,6,1,6.35,6.35
334,24/03/2024 00:00,164,5,1,13.29,13.29
335,12/01/2024 14:00,169,4,9,43.58,392.22
336,25/01/2024 13:00,38,4,12,24.56,294.72
337,19/01/2024 08:00,182,5,3,22.32,66.96
338,22/02/2024 01:00,171,1,1,36.98,36.98
339,18/02/2024 01:00,157,3,18,25.77,463.86
340,22/01/2024 21:00,115,2,16,16.47,263.52
341,10/01/2024 12:00,153,1,10,31.84,318.4
342,16/01/2024 03:00,122,2,14,14.02,196.28
343,14/02/2024 21:00,33,3,5,15.75,78.75
344,21/02/2024 18:00,4,4,17,16.27,276.59
345,26/02/2024 15:00,132,2,13,30.97,402.61
346,26/03/2024 17:00,160,2,13,41.32,537.16
347,01/01/2024 07:00,68,2,17,15.56,264.52
348,01/01/2024 09:00,81,6,3,30.14,90.42
349,31/01/2024 22:00,44,1,5,26.6,133.0
350,02/02/2024 15:00,39,2,8,11.03,88.24
351,27/01/2024 18:00,93,4,18,9.41,169.38
352,15/01/2024 09:00,147,6,3,25.1,75.3
353,12/03/2024 06:00,149,1,17,36.9,627.3
354,26/03/2024 17:00,79,2,11,18.57,204.27
355,12/01/2024 10:00,4,6,7,16.27,113.89
356,14/01/2024 06:00,91,3,18,5.72,102.96
357,26/01/2024 05:00,95,6,13,15.39,200.07
358,26/01/2024 21:00,161,4,12,39.7,476.4
359,24/02/2024 13:00,169,2,16,43.58,697.28
360,18/01/2024 23:00,53,4,2,40.96,81.92
361,28/02/2024 01:00,75,5,1,23.32,23.32
362,29/01/2024 19:00,95,2,16,15.39,246.24
363,29/03/2024 15:00,172,5,2,24.98,49.96
364,21/03/2024 21:00,75,5,8,23.32,186.56
365,10/02/2024 16:00,170,6,11,23.39,257.29
366,22/03/2024 10:00,74,6,8,12.92,103.36
367,06/02/2024 01:00,87,5,2,33.11,66.22
368,22/01/2024 03:00,10,5,18,30.02,540.36
369,12/03/2024 13:00,124,2,4,13.65,54.6
370,09/02/2024 06:00,16,4,16,23.36,373.76
371,27/01/2024 10:00,184,4,9,14.59,131.31
372,02/02/2024 20:00,67,1,7,8.2,57.4
373,05/01/2024 01:00,24,6,3,48.39,145.17
374,04/02/2024 20:00,169,3,16,43.58,697.28
375,14/01/2024 12:00,29,6,14,7.51,105.14
376,08/03/2024 17:00,13,3,11,48.12,529.32
377,22/03/2024 10:00,109,3,2,15.15,30.3
378,25/02/2024 22:00,97,4,10,21.63,216.3
379,22/01/2024 13:00,36,2,2,9.42,18.84
380,03/02/2024 09:00,109,5,9,15.15,136.35
381,13/01/2024 02:00,43,5,11,34.11,375.21
382,24/02/2024 07:00,74,6,1,12.92,12.92
383,17/03/2024 13:00,122,6,10,14.02,140.2
384,07/02/2024 21:00,198,4,19,38.55,732.45
385,20/02/2024 21:00,156,3,19,20.16,383.04
386,21/02/2024 00:00,79,2,3,18.57,55.71
387,17/02/2024 14:00,60,6,2,40.88,81.76
388,18/02/2024 10:00,34,5,1,46.93,46.93
389,31/01/2024 17:00,10,1,4,30.02,120.08
390,24/01/2024 11:00,181,2,11,39.78,437.58
391,05/03/2024 09:00,190,1,15,19.54,293.1
392,06/01/2024 08:00,80,1,1,28.01,28.01
393,05/02/2024 09:00,173,6,5,31.1,155.5
394,16/02/2024 17:00,89,6,14,45.14,631.96
395,02/01/2024 00:00,57,1,14,14.67,205.38
396,08/01/2024 19:00,87,3,2,33.11,66.22
397,07/02/2024 23:00,2,5,12,28.76,345.12
398,09/01/2024 22:00,62,2,7,21.69,151.83
399,25/03/2024 16:00,164,3,12,13.29,159.48
400,29/01/2024 01:00,29,4,3,7.51,22.53
401,10/01/2024 09:00,68,6,3,15.56,46.68
402,03/02/2024 07:00,39,1,13,11.03,143.39
403,30/03/2024 01:00,58,3,9,24.73,222.57
404,12/01/2024 19:00,80,2,16,28.01,448.16
405,21/01/2024 12:00,195,6,8,12.33,98.64
406,23/02/2024 14:00,11,2,16,38.17,610.72
407,21/01/2024 08:00,196,6,1,44.61,44.61
408,29/01/2024 16:00,92,5,8,27.3,218.4
409,15/02/2024 21:00,74,6,9,12.92,116.28
410,19/01/2024 19:00,56,2,19,42.76,812.44
411,19/01/2024 16:00,35,5,9,17.52,157.68
412,10/02/2024 03:00,77,1,6,29.35,176.1
413,25/03/2024 01:00,34,1,7,46.93,328.51
414,13/01/2024 13:00,39,3,5,11.03,55.15
415,13/02/2024 09:00,168,2,1,26.7,26.7
416,28/01/2024 06:00,43,1,7,34.11,238.77
417,16/01/2024 01:00,45,4,5,12.19,60.95
418,18/02/2024 17:00,65,5,18,43.76,787.68
419,09/02/2024 23:00,96,5,8,41.18,329.44
420,04/03/2024 22:00,117,5,11,48.53,533.83
421,27/01/2024 14:00,49,5,8,45.69,365.52
422,31/01/2024 09:00,121,4,16,36.19,579.04
423,01/01/2024 14:00,99,5,8,27.65,221.2
424,08/03/2024 20:00,194,4,6,41.41,248.46
425,04/01/2024 03:00,191,4,7,37.99,265.93
426,09/01/2024 11:00,193,1,15,22.67,340.05
427,16/02/2024 05:00,80,3,19,28.01,532.19
428,11/03/2024 10:00,68,2,1,15.56,15.56
429,06/03/2024 15:00,3,5,17,43.83,745.11
430,05/03/2024 00:00,151,5,9,47.0,423.0
431,17/01/2024 06:00,51,3,2,41.37,82.74
432,10/01/2024 20:00,168,4,19,26.7,507.3
433,29/03/2024 06:00,195,3,3,12.33,36.99
434,10/01/2024 05:00,81,3,5,30.14,150.7
435,23/02/2024 18:00,74,5,13,12.92,167.96
436,03/03/2024 16:00,140,4,10,39.52,395.2
437,28/01/2024 12:00,1,3,3,12.57,37.71
438,17/03/2024 21:00,163,4,7,33.67,235.69
439,04/03/2024 04:00,62,5,1,21.69,21.69
440,19/01/2024 22:00,119,2,3,47.16,141.48
441,06/02/2024 04:00,133,6,14,43.97,615.58
442,26/01/2024 06:00,134,5,10,39.38,393.8
443,21/02/2024 12:00,137,5,6,42.54,255.24
444,02/01/2024 07:00,117,1,5,48.53,242.65
445,06/02/2024 02:00,195,4,17,12.33,209.61
446,12/01/2024 01:00,147,6,10,25.1,251.0
447,16/02/2024 20:00,69,5,18,13.84,249.12
448,11/02/2024 20:00,51,5,17,41.37,703.29
449,27/03/2024 05:00,13,3,4,48.12,192.48
450,28/03/2024 11:00,99,1,1,27.65,27.65
451,24/01/2024 04:00,26,1,1,44.75,44.75
452,26/01/2024 04:00,119,2,19,47.16,896.04
453,24/01/2024 17:00,170,1,9,23.39,210.51
454,21/02/2024 13:00,151,5,5,47.0,235.0
455,29/01/2024 00:00,151,5,2,47.0,94.0
456,16/01/2024 01:00,49,1,12,45.69,548.28
457,17/02/2024 20:00,2,6,10,28.76,287.6
458,09/01/2024 19:00,24,4,9,48.39,435.51
459,30/01/2024 02:00,196,6,1,44.61,44.61
460,13/03/2024 07:00,79,4,18,18.57,334.26
461,14/01/2024 03:00,159,1,11,40.44,444.84
462,20/03/2024 22:00,196,5,17,44.61,758.37
463,09/03/2024 09:00,4,6,1,16.27,16.27
464,08/03/2024 12:00,136,5,15,12.31,184.65
465,23/01/2024 13:00,102,4,11,5.44,59.84
466,23/02/2024 11:00,29,3,12,7.51,90.12
467,16/01/2024 10:00,117,6,19,48.53,922.07
468,17/03/2024 08:00,139,4,18,23.73,427.14
469,07/02/2024 03:00,116,6,10,45.0,450.0
470,02/03/2024 11:00,172,4,1,24.98,24.98
471,21/01/2024 13:00,173,4,17,31.1,528.7
472,07/01/2024 06:00,125,1,19,28.47,540.93
473,09/02/2024 00:00,139,4,3,23.73,71.19
474,02/03/2024 16:00,17,1,18,7.95,143.1
475,19/01/2024 02:00,148,6,12,19.7,236.4
476,02/03/2024 00:00,166,2,1,13.19,13.19
477,11/02/2024 23:00,105,4,8,40.5,324.0
478,08/02/2024 16:00,42,1,3,38.36,115.08
479,08/02/2024 10:00,106,4,1,45.41,45.41
480,28/01/2024 06:00,70,3,12,10.27,123.24
481,21/01/2024 03:00,42,4,6,38.36,230.16
482,27/03/2024 17:00,120,6,4,38.52,154.08
483,26/01/2024 16:00,117,3,11,48.53,533.83
484,20/01/2024 08:00,77,4,4,29.35,117.4
485,07/03/2024 21:00,24,1,2,48.39,96.78
486,29/02/2024 00:00,79,4,10,18.57,185.7
487,26/02/2024 23:00,161,4,19,39.7,754.3
488,14/01/2024 21:00,183,2,18,49.72,894.96
489,05/02/2024 11:00,101,3,2,29.03,58.06
490,17/01/2024 14:00,156,4,7,20.16,141.12
491,12/01/2024 15:00,174,2,5,31.37,156.85
492,01/02/2024 04:00,56,3,19,42.76,812.44
493,16/02/2024 10:00,163,5,1,33.67,33.67
494,05/03/2024 03:00,86,3,5,8.37,41.85
495,08/01/2024 12:00,108,3,9,32.44,291.96
496,14/03/2024 08:00,84,6,19,43.46,825.74
497,23/03/2024 21:00,199,3,19,27.61,524.59
498,18/02/2024 12:00,131,5,7,29.0,203.0
499,08/02/2024 04:00,197,1,11,45.09,495.99
500,27/03/2024 04:00,112,5,8,36.07,288.56
501,08/03/2024 23:00,47,3,14,12.5,175.0
502,02/03/2024 03:00,103,3,19,34.36,652.84
503,25/02/2024 08:00,75,4,2,23.32,46.64
504,07/01/2024 11:00,49,4,1,45.69,45.69
505,08/02/2024 11:00,2,6,16,28.76,460.16
506,21/01/2024 16:00,178,3,15,5.4,81.0
507,29/03/2024 15:00,136,6,7,12.31,86.17
508,29/03/2024 05:00,77,6,17,29.35,498.95
509,27/02/2024 14:00,125,3,17,28.47,483.99
510,05/03/2024 17:00,156,2,15,20.16,302.4
511,27/01/2024 03:00,24,1,12,48.39,580.68
512,14/03/2024 21:00,24,3,15,48.39,725.85
513,24/01/2024 21:00,32,6,6,22.61,135.66
514,07/02/2024 08:00,122,5,5,14.02,70.1
