id_venta,datetime,id_producto,id_sucursal,unidades_vendidas
120,14/02/2024 18:00,61,6,7
121,06/01/2024 19:00,24,4,11
122,01/01/2024 16:00,47,6,14
123,30/01/2024 13:00,65,6,10
124,18/02/2024 13:00,107,1,14
125,03/02/2024 15:00,82,3,16
126,25/01/2024 20:00,59,3,7
127,21/01/2024 20:00,67,6,14
128,20/03/2024 23:00,77,5,8
129,18/02/2024 06:00,122,2,1
130,03/01/2024 22:00,79,3,16
131,13/01/2024 08:00,155,1,9
132,09/02/2024 11:00,17,1,6
133,02/02/2024 16:00,154,1,10
134,04/03/2024 07:00,39,1,15
135,24/02/2024 19:00,187,1,16
136,30/01/2024 07:00,7,5,11
137,08/03/2024 21:00,76,3,8
138,12/01/2024 11:00,22,6,15
139,20/03/2024 12:00,9,2,13
140,18/03/2024 14:00,133,2,5
141,11/03/2024 03:00,16,1,9
142,03/01/2024 01:00,4,2,6
143,21/01/2024 21:00,6,1,19
144,12/02/2024 04:00,62,3,11
145,05/01/2024 05:00,181,6,9
146,18/02/2024 12:00,13,3,18
147,16/03/2024 08:00,29,3,17
148,09/03/2024 20:00,85,5,14
149,28/03/2024 17:00,66,1,16
150,29/01/2024 05:00,15,3,9
151,24/02/2024 08:00,6,4,9
152,02/01/2024 20:00,182,3,17
153,28/03/2024 14:00,70,5,2
154,26/03/2024 01:00,7,2,15
155,02/03/2024 23:00,114,3,16
156,28/03/2024 05:00,21,4,8
157,06/01/2024 11:00,92,1,10
158,13/03/2024 21:00,17,4,14
159,13/02/2024 00:00,145,6,13
160,04/02/2024 22:00,30,5,9
161,10/01/2024 03:00,125,6,14
162,14/03/2024 23:00,67,3,6
163,23/01/2024 08:00,71,3,15
164,24/02/2024 00:00,132,4,17
165,12/03/2024 08:00,143,2,8
166,13/01/2024 18:00,62,4,4
167,08/02/2024 02:00,179,2,4
168,23/01/2024 02:00,165,1,13
169,26/01/2024 15:00,196,1,7
170,06/03/2024 00:00,68,2,19
171,25/03/2024 21:00,45,3,10
172,23/02/2024 03:00,113,4,3
173,16/01/2024 10:00,83,5,10
174,27/01/2024 21:00,4,2,6
175,09/03/2024 16:00,196,4,13
176,07/03/2024 06:00,95,2,6
177,04/02/2024 02:00,166,2,4
178,02/02/2024 11:00,137,1,18
179,05/02/2024 11:00,170,3,doce
180,13/01/2024 19:00,160,1,6
181,02/01/2024 05:00,29,3,18
182,06/01/2024 02:00,123,1,6
183,19/03/2024 16:00,189,2,18
184,12/01/2024 07:00,158,5,15
185,08/02/2024 09:00,22,1,12
186,02/01/2024 19:00,178,5,19
187,06/03/2024 02:00,184,3,9
188,16/02/2024 03:00,76,2,2
189,24/02/2024 01:00,129,2,12
190,19/01/2024 10:00,32,6,16
191,28/01/2024 13:00,167,5,15
192,10/03/2024 01:00,165,2,8
193,30/03/2024 11:00,47,4,11
194,02/02/2024 09:00,196,2,17
195,05/02/2024 10:00,18,6,16
196,15/01/2024 00:00,104,2,19
197,19/02/2024 01:00,96,2,4
198,29/03/2024 07:00,80,4,18
199,03/03/2024 06:00,21,6,8
200,09/01/2024 19:00,1,3,1
201,24/03/2024 02:00,94,5,5
202,03/01/2024 14:00,161,6,17
203,25/01/2024 08:00,75,4,19
204,12/03/2024 11:00,109,4,16
205,17/03/2024 00:00,164,4,15
206,22/01/2024 17:00,185,5,2
207,12/02/2024 09:00,113,1,16
208,09/03/2024 09:00,23,3,17
209,28/03/2024 20:00,120,4,13
210,15/02/2024 12:00,118,5,13
211,26/03/2024 02:00,110,5,17
212,14/03/2024 04:00,164,6,16
213,26/03/2024 07:00,111,6,17
214,13/01/2024 12:00,9,6,6
215,16/01/2024 23:00,122,2,19
216,23/03/2024 18:00,25,2,5
217,16/01/2024 05:00,194,6,11
218,23/01/2024 13:00,34,6,16
219,28/01/2024 20:00,116,6,4
220,27/02/2024 15:00,43,4,7
221,02/03/2024 17:00,78,4,8
222,20/01/2024 16:00,189,4,1
223,04/03/2024 10:00,56,4,7
224,07/02/2024 02:00,37,3,13
225,04/02/2024 12:00,30,2,16
226,04/01/2024 21:00,198,1,11
227,02/03/2024 20:00,149,3,14
228,09/01/2024 05:00,11,5,1
229,09/02/2024 06:00,5,3,4
230,14/01/2024 18:00,65,4,17
231,06/03/2024 06:00,69,4,4
232,24/01/2024 11:00,1,4,17
233,03/01/2024 10:00,183,2,7
234,10/03/2024 02:00,16,6,10
235,17/02/2024 07:00,97,1,2
236,19/02/2024 20:00,126,6,19
237,08/02/2024 09:00,145,3,doce
238,19/01/2024 14:00,197,5,19
239,01/03/2024 18:00,33,3,1
240,17/03/2024 12:00,189,2,19
241,27/02/2024 15:00,147,5,5
242,24/02/2024 23:00,71,4,5
243,08/03/2024 08:00,57,6,17
244,27/03/2024 10:00,85,4,7
245,11/03/2024 04:00,18,1,16
246,03/03/2024 14:00,92,3,14
247,04/03/2024 13:00,130,5,6
248,14/03/2024 22:00,184,1,14
249,02/01/2024 12:00,39,6,1
250,15/01/2024 19:00,153,4,18
251,28/03/2024 03:00,40,6,16
252,29/02/2024 04:00,156,2,13
253,20/02/2024 08:00,39,1,8
254,26/02/2024 05:00,6,6,1
255,27/03/2024 06:00,13,1,19
256,17/03/2024 23:00,143,4,4
257,19/02/2024 12:00,126,3,6
258,15/01/2024 02:00,188,3,9
259,21/01/2024 10:00,182,3,7
260,13/02/2024 10:00,134,1,15
261,07/03/2024 19:00,93,1,2
262,29/03/2024 19:00,90,3,5
263,17/01/2024 12:00,20,3,10
264,24/02/2024 06:00,91,5,8
265,28/02/2024 01:00,56,6,12
266,24/03/2024 03:00,145,2,1
267,20/03/2024 05:00,171,2,8
268,19/01/2024 06:00,76,4,16
269,18/03/2024 18:00,39,4,7
270,22/03/2024 12:00,89,5,19
271,10/01/2024 01:00,22,4,10
272,18/01/2024 15:00,98,3,9
273,01/03/2024 03:00,99,6,8
274,09/01/2024 04:00,72,2,1
275,07/03/2024 05:00,121,1,8
276,03/01/2024 12:00,33,3,3
277,21/01/2024 07:00,194,5,17
278,21/03/2024 15:00,94,4,11
279,13/03/2024 09:00,78,5,6
280,06/03/2024 16:00,26,4,8
281,01/03/2024 07:00,176,6,14
282,05/02/2024 11:00,89,4,1
283,29/02/2024 17:00,141,5,9
284,17/02/2024 02:00,158,1,3
285,27/03/2024 03:00,50,6,11
286,12/01/2024 20:00,126,2,11
287,01/02/2024 16:00,112,1,2
288,24/03/2024 21:00,103,3,7
289,30/01/2024 14:00,177,6,10
290,02/03/2024 05:00,15,4,14
291,10/03/2024 19:00,21,,18
292,19/02/2024 19:00,74,3,10
293,26/03/2024 08:00,68,6,11
294,30/01/2024 14:00,39,1,18
295,28/02/2024 18:00,18,6,5
296,20/01/2024 21:00,38,3,11
297,02/02/2024 03:00,160,,17
298,11/02/2024 22:00,122,2,16
299,17/02/2024 10:00,174,4,6
300,27/02/2024 18:00,115,,8
301,08/03/2024 05:00,69,3,8
302,26/02/2024 13:00,69,6,5
303,29/02/2024 21:00,184,3,6
304,05/02/2024 03:00,3,6,17
305,14/02/2024 01:00,116,4,17
306,02/02/2024 01:00,9,1,5
307,21/02/2024 16:00,190,1,19
308,07/03/2024 12:00,29,1,3
309,25/03/2024 19:00,80,3,17
310,10/03/2024 03:00,28,4,2
311,23/03/2024 13:00,73,5,15
312,08/03/2024 07:00,96,5,10
313,30/03/2024 02:00,74,4,12
314,16/03/2024 22:00,79,1,7
315,18/03/2024 15:00,133,3,1
316,15/02/2024 18:00,33,3,18
317,09/01/2024 20:00,121,6,17
318,28/02/2024 10:00,120,1,4
319,27/01/2024 11:00,97,6,13
320,05/02/2024 10:00,54,5,9
321,26/03/2024 01:00,97,1,16
322,16/03/2024 15:00,141,6,11
323,18/02/2024 17:00,41,4,4
324,16/03/2024 03:00,39,2,2
325,26/01/2024 13:00,48,1,12
326,29/03/2024 15:00,42,6,14
327,06/03/2024 07:00,146,2,16
328,12/03/2024 00:00,176,5,4
329,04/01/2024 03:00,85,2,10
330,09/03/2024 14:00,132,6,18
331,03/03/2024 08:00,67,1,2
332,07/02/2024 14:00,175,3,5
333,04/02/2024 06:00,9,3,16
334,03/02/2024 08:00,3,4,9
335,13/01/2024 08:00,112,5,11
336,17/01/2024 00:00,162,1,17
337,05/03/2024 05:00,135,2,12
338,03/01/2024 14:00,34,6,14
339,24/03/2024 13:00,61,4,4
340,15/02/2024 02:00,66,6,1
341,24/03/2024 00:00,164,5,1
342,12/01/2024 14:00,169,4,9
343,25/01/2024 13:00,38,4,12
344,19/01/2024 08:00,182,5,3
345,22/02/2024 01:00,171,1,1
346,18/02/2024 01:00,157,3,18
347,22/01/2024 21:00,115,2,16
348,10/01/2024 12:00,153,1,10
349,16/01/2024 03:00,122,2,14
350,14/02/2024 21:00,33,3,5
351,21/02/2024 18:00,4,4,17
352,26/02/2024 15:00,132,2,13
353,26/03/2024 17:00,160,2,13
354,15/02/2024 03:00,,6,16
355,01/01/2024 07:00,68,2,17
356,01/01/2024 09:00,81,6,3
357,31/01/2024 22:00,44,1,5
358,02/02/2024 15:00,39,2,8
359,27/01/2024 18:00,93,4,18
360,15/01/2024 09:00,147,6,3
361,12/03/2024 06:00,149,1,17
362,26/03/2024 17:00,79,2,11
363,12/01/2024 10:00,4,6,7
364,14/01/2024 06:00,91,3,18
365,26/01/2024 05:00,95,6,13
366,26/01/2024 21:00,161,4,12
367,24/02/2024 13:00,169,2,16
368,18/01/2024 23:00,53,4,2
369,28/02/2024 01:00,75,5,1
370,29/01/2024 19:00,95,2,16
371,29/03/2024 15:00,172,5,2
372,21/03/2024 21:00,75,5,8
373,10/01/2024 16:00,194,,5
374,10/02/2024 16:00,170,6,11
375,22/03/2024 10:00,74,6,8
376,20/03/2024 09:00,,3,18
377,06/02/2024 01:00,87,5,2
378,22/01/2024 03:00,10,5,18
379,12/03/2024 13:00,124,2,4
380,09/02/2024 06:00,16,4,16
381,27/01/2024 10:00,184,4,9
382,02/02/2024 20:00,67,1,7
383,05/01/2024 01:00,24,6,3
384,04/02/2024 20:00,169,3,16
385,14/01/2024 12:00,29,6,14
386,08/03/2024 17:00,13,3,11
387,22/03/2024 10:00,109,3,2
388,25/02/2024 22:00,97,4,10
389,22/01/2024 13:00,36,2,2
390,03/02/2024 09:00,109,5,9
391,13/01/2024 02:00,43,5,11
392,24/02/2024 07:00,74,6,1
393,17/03/2024 13:00,122,6,10
394,07/02/2024 21:00,198,4,19
395,20/02/2024 21:00,156,3,19
396,21/02/2024 00:00,79,2,3
397,17/02/2024 14:00,60,6,2
398,18/02/2024 10:00,34,5,1
399,31/01/2024 17:00,10,1,4
400,24/01/2024 11:00,181,2,11
401,05/03/2024 09:00,190,1,15
402,06/01/2024 08:00,80,1,1
403,05/02/2024 09:00,173,6,5
404,16/02/2024 17:00,89,6,14
405,02/01/2024 00:00,57,1,14
406,08/01/2024 19:00,87,3,2
407,07/02/2024 23:00,2,5,12
408,09/01/2024 22:00,62,2,7
409,25/03/2024 16:00,164,3,12
410,29/01/2024 01:00,29,4,3
411,10/01/2024 09:00,68,6,3
412,03/02/2024 07:00,39,1,13
413,30/03/2024 01:00,58,3,9
414,12/01/2024 19:00,80,2,16
415,21/01/2024 12:00,195,6,8
416,23/02/2024 14:00,11,2,16
417,21/01/2024 08:00,196,6,1
418,29/01/2024 16:00,92,5,8
419,15/02/2024 21:00,74,6,9
420,19/01/2024 19:00,56,2,19
421,19/01/2024 16:00,35,5,9
422,10/02/2024 03:00,77,1,6
423,25/03/2024 01:00,34,1,7
424,13/01/2024 13:00,39,3,5
425,13/02/2024 09:00,168,2,1
426,28/01/2024 06:00,43,1,7
427,16/01/2024 01:00,45,4,5
428,18/02/2024 17:00,65,5,18
429,09/02/2024 23:00,96,5,8
430,04/03/2024 22:00,117,5,11
431,27/01/2024 14:00,49,5,8
432,31/01/2024 09:00,121,4,16
433,01/01/2024 14:00,99,5,8
434,08/03/2024 20:00,194,4,6
435,04/01/2024 03:00,191,4,7
436,09/01/2024 11:00,193,1,15
437,16/02/2024 05:00,80,3,19
438,11/03/2024 10:00,68,2,1
439,06/03/2024 15:00,3,5,17
440,05/03/2024 00:00,151,5,9
441,17/01/2024 06:00,51,3,2
442,10/01/2024 20:00,168,4,19
443,29/03/2024 06:00,195,3,3
444,10/01/2024 05:00,81,3,5
445,23/02/2024 18:00,74,5,13
446,03/03/2024 16:00,140,4,10
447,28/01/2024 12:00,1,3,3
448,17/03/2024 21:00,163,4,7
449,04/03/2024 04:00,62,5,1
450,19/01/2024 22:00,119,2,3
451,06/02/2024 04:00,133,6,14
452,26/01/2024 06:00,134,5,10
453,21/02/2024 12:00,137,5,6
454,02/01/2024 07:00,117,1,5
455,06/02/2024 02:00,195,4,17
456,12/01/2024 01:00,147,6,10
457,16/02/2024 20:00,69,5,18
458,11/02/2024 20:00,51,5,17
459,27/03/2024 05:00,13,3,4
460,28/03/2024 11:00,99,1,1
461,24/01/2024 04:00,26,1,1
462,26/01/2024 04:00,119,2,19
463,24/01/2024 17:00,170,1,9
464,21/02/2024 13:00,151,5,5
465,29/01/2024 00:00,151,5,2
466,16/01/2024 01:00,49,1,doce
467,17/02/2024 20:00,2,6,10
468,09/01/2024 19:00,24,4,9
469,30/01/2024 02:00,196,6,1
470,13/03/2024 07:00,79,4,18
471,14/01/2024 03:00,159,1,11
472,20/03/2024 22:00,196,5,17
473,09/03/2024 09:00,4,6,1
474,08/03/2024 12:00,136,5,15
475,23/01/2024 13:00,102,4,11
476,23/02/2024 11:00,29,3,12
477,16/01/2024 10:00,117,6,19
478,17/03/2024 08:00,139,4,18
479,07/02/2024 03:00,116,6,10
480,02/03/2024 11:00,172,4,1
481,21/01/2024 13:00,173,4,17
482,07/01/2024 06:00,125,1,19
483,09/02/2024 00:00,139,4,3
484,02/03/2024 16:00,17,1,18
485,19/01/2024 02:00,148,6,12
486,02/03/2024 00:00,166,2,1
487,11/02/2024 23:00,105,4,8
488,08/02/2024 16:00,42,1,3
489,08/02/2024 10:00,106,4,1
490,28/01/2024 06:00,70,3,12
491,21/01/2024 03:00,42,4,6
492,23/02/2024 14:00,80,,4
493,05/03/2024 12:00,,3,7
494,27/03/2024 17:00,120,6,4
495,26/01/2024 16:00,117,3,11
496,11/03/2024 23:00,,3,9
497,20/01/2024 08:00,77,4,4
498,07/03/2024 21:00,24,1,2
499,29/02/2024 00:00,79,4,10
500,26/02/2024 23:00,161,4,19
501,14/01/2024 21:00,183,2,18
502,05/02/2024 11:00,101,3,2
503,17/01/2024 14:00,156,4,7
504,12/01/2024 15:00,174,2,5
505,01/02/2024 04:00,56,3,19
506,16/02/2024 10:00,163,5,1
507,05/03/2024 03:00,86,3,5
508,08/01/2024 12:00,108,3,9
509,14/03/2024 08:00,84,6,19
510,15/01/2024 17:00,,5,10
511,23/03/2024 21:00,199,3,19
512,25/01/2024 04:00,,1,15
513,18/02/2024 12:00,131,5,7
514,08/02/2024 04:00,197,1,11
515,27/03/2024 04:00,112,5,8
516,08/03/2024 23:00,47,3,14
517,02/03/2024 03:00,103,3,19
518,25/02/2024 08:00,75,4,2
519,07/01/2024 11:00,49,4,1
520,08/02/2024 11:00,2,6,16
521,21/01/2024 16:00,178,3,15
522,29/03/2024 15:00,136,6,7
523,29/03/2024 05:00,77,6,17
524,27/02/2024 14:00,125,3,17
525,05/03/2024 17:00,156,2,15
526,27/01/2024 03:00,24,1,12
527,14/03/2024 21:00,24,3,15
528,24/01/2024 21:00,32,6,6
529,07/02/2024 08:00,122,5,5
530,11/03/2024 21:00,181,6,4
531,28/01/2024 15:00,184,4,15
532,20/01/2024 21:00,70,5,19
533,06/02/2024 01:00,52,5,17
534,08/02/2024 21:00,155,3,18
535,09/01/2024 19:00,162,3,17
536,01/01/2024 20:00,26,6,12
537,07/02/2024 08:00,28,1,3
538,01/03/2024 10:00,142,4,18
539,02/01/2024 14:00,23,2,2
540,22/02/2024 15:00,51,5,13
541,19/02/2024 01:00,133,3,19
542,10/02/2024 18:00,99,5,5
543,05/01/2024 06:00,55,2,3
544,25/01/2024 08:00,129,1,18
545,13/03/2024 05:00,159,4,doce
546,03/01/2024 17:00,23,3,5
547,22/02/2024 11:00,170,6,11
548,13/01/2024 03:00,24,3,8
549,20/01/2024 04:00,107,3,17
550,18/03/2024 16:00,134,1,3
551,03/01/2024 19:00,36,1,9
552,27/01/2024 20:00,84,1,6
553,09/01/2024 10:00,89,4,18
554,07/03/2024 06:00,186,2,8
555,10/02/2024 01:00,10,1,17
556,22/01/2024 23:00,140,2,13
557,16/01/2024 04:00,131,6,5
558,29/02/2024 12:00,132,2,17
559,18/01/2024 12:00,108,5,8
560,13/01/2024 10:00,106,4,15
561,08/03/2024 01:00,159,5,3
562,30/03/2024 16:00,162,4,5
563,22/02/2024 09:00,135,6,5
564,19/02/2024 19:00,58,5,12
565,06/03/2024 12:00,83,6,12
566,08/02/2024 03:00,164,3,2
567,09/02/2024 21:00,18,4,2
568,09/02/2024 16:00,147,5,14
569,01/03/2024 06:00,63,2,7
570,06/01/2024 03:00,35,4,10
571,02/01/2024 01:00,78,5,10
572,02/02/2024 05:00,1,4,18
573,28/03/2024 08:00,8,5,13
574,22/03/2024 05:00,167,5,13
575,14/03/2024 02:00,49,6,16
576,22/02/2024 04:00,117,3,9
577,02/03/2024 07:00,92,1,14
578,24/03/2024 02:00,90,2,2
579,11/01/2024 22:00,33,1,11
580,28/01/2024 16:00,60,1,13
581,07/03/2024 10:00,53,4,18
582,20/01/2024 00:00,67,2,9
583,13/01/2024 19:00,183,3,10
584,26/02/2024 07:00,108,3,9
585,22/03/2024 13:00,68,1,3
586,16/03/2024 16:00,114,4,doce
587,09/03/2024 06:00,122,5,17
588,26/02/2024 07:00,63,5,10
589,10/01/2024 18:00,52,6,1
590,16/02/2024 08:00,100,5,3
591,26/02/2024 06:00,26,2,4
592,05/01/2024 12:00,156,3,8
593,08/03/2024 23:00,130,4,18
594,09/02/2024 06:00,199,6,16
595,03/02/2024 00:00,81,1,10
596,14/02/2024 21:00,179,2,8
597,21/03/2024 13:00,193,5,11
598,30/01/2024 01:00,190,4,5
599,07/02/2024 20:00,59,1,13
600,27/01/2024 00:00,76,4,10
601,18/01/2024 15:00,96,6,17
602,13/03/2024 18:00,102,4,19
603,18/03/2024 15:00,159,6,3
604,28/01/2024 01:00,176,3,1
605,24/03/2024 08:00,60,5,16
606,03/02/2024 12:00,39,6,5
607,20/03/2024 12:00,71,4,16
608,16/01/2024 18:00,132,6,2
609,27/03/2024 15:00,102,6,15
610,28/03/2024 07:00,73,6,15
611,10/03/2024 16:00,13,3,13
612,05/03/2024 18:00,176,1,16
613,29/02/2024 00:00,135,3,12
614,02/03/2024 08:00,95,5,9
615,05/01/2024 12:00,14,5,5
616,08/02/2024 03:00,74,4,3
617,12/01/2024 21:00,198,4,1
618,16/02/2024 03:00,104,1,15
619,09/01/2024 23:00,197,5,7
620,21/03/2024 23:00,43,1,8
621,21/01/2024 15:00,172,2,12
622,19/02/2024 02:00,82,6,9
623,25/02/2024 16:00,129,6,8
624,10/02/2024 12:00,13,2,12
625,05/02/2024 03:00,11,6,16
626,24/02/2024 15:00,43,1,7
627,08/03/2024 20:00,87,5,9
628,11/03/2024 03:00,25,6,19
629,23/03/2024 17:00,123,2,12
630,22/01/2024 12:00,135,6,5
631,03/02/2024 18:00,166,3,14
632,21/03/2024 11:00,46,1,12
633,22/02/2024 13:00,82,2,5
634,16/02/2024 13:00,65,3,6
635,30/03/2024 19:00,106,2,14
636,05/01/2024 23:00,195,3,12
637,16/02/2024 08:00,79,6,15
638,27/02/2024 17:00,131,2,1
639,18/02/2024 10:00,98,5,3
640,30/03/2024 20:00,84,2,14
641,02/01/2024 06:00,77,4,7
642,23/03/2024 11:00,87,3,6
643,06/01/2024 10:00,116,4,7
644,04/02/2024 16:00,185,3,17
645,29/01/2024 21:00,72,5,10
646,11/03/2024 16:00,87,1,15
647,29/03/2024 17:00,173,6,19
648,03/02/2024 09:00,132,1,13
649,09/01/2024 02:00,5,5,3
650,02/02/2024 05:00,126,1,9
651,15/01/2024 08:00,191,5,7
652,10/03/2024 15:00,117,2,5
653,12/02/2024 19:00,40,3,19
654,17/03/2024 07:00,19,6,16
655,01/03/2024 23:00,85,5,10
656,22/01/2024 22:00,112,4,11
657,09/02/2024 22:00,188,2,5
658,20/03/2024 04:00,123,3,15
659,15/02/2024 14:00,127,1,13
660,07/03/2024 19:00,88,,7
661,18/02/2024 06:00,161,3,16
662,06/01/2024 12:00,146,5,14
663,11/03/2024 14:00,157,2,19
664,02/02/2024 04:00,21,4,2
665,01/02/2024 04:00,38,2,5
666,04/02/2024 14:00,6,1,8
667,27/02/2024 05:00,41,5,4
668,08/02/2024 20:00,34,3,1
669,04/01/2024 12:00,193,1,18
670,06/02/2024 17:00,14,2,6
671,21/01/2024 05:00,73,1,2
672,15/02/2024 13:00,69,3,13
673,05/03/2024 09:00,140,5,14
674,06/02/2024 09:00,179,3,1
675,14/02/2024 08:00,111,6,14
676,05/03/2024 21:00,108,5,4
677,17/01/2024 09:00,102,2,15
678,17/03/2024 13:00,148,6,14
679,21/03/2024 00:00,151,1,16
680,16/02/2024 03:00,143,1,10
681,19/01/2024 21:00,131,6,11
682,12/03/2024 22:00,113,1,3
683,19/02/2024 02:00,70,2,13
684,11/02/2024 02:00,109,2,3
685,12/01/2024 23:00,1,2,12
686,04/03/2024 19:00,73,6,5
687,15/01/2024 09:00,90,1,13
688,26/02/2024 13:00,58,3,7
689,04/01/2024 08:00,31,3,5
690,14/02/2024 07:00,68,6,12
691,16/02/2024 21:00,47,4,6
692,06/03/2024 17:00,159,6,3
693,04/03/2024 23:00,134,1,16
694,10/03/2024 16:00,167,6,1
695,19/02/2024 06:00,81,1,4
696,09/03/2024 16:00,120,2,18
697,06/01/2024 19:00,9,5,17
698,22/03/2024 21:00,90,5,2
699,12/01/2024 00:00,110,2,14
700,04/01/2024 02:00,130,6,14
701,12/02/2024 01:00,148,3,18
702,18/02/2024 05:00,170,3,10
703,07/02/2024 18:00,94,6,9
704,14/03/2024 22:00,176,3,17
705,29/02/2024 21:00,102,3,18
706,19/03/2024 18:00,42,6,16
707,25/01/2024 03:00,11,2,6
708,24/01/2024 22:00,122,3,4
709,19/01/2024 20:00,71,5,17
710,04/02/2024 16:00,200,3,doce
711,27/01/2024 05:00,12,2,1
712,09/01/2024 03:00,150,5,6
713,12/01/2024 12:00,,4,13
714,09/03/2024 19:00,117,4,2
715,20/03/2024 00:00,30,3,10
716,18/02/2024 17:00,198,2,6
717,18/02/2024 06:00,11,4,19
718,09/02/2024 20:00,94,4,2
719,16/01/2024 00:00,5,2,17
720,21/01/2024 18:00,97,5,7
721,22/02/2024 05:00,74,4,19
722,26/02/2024 04:00,48,2,8
723,24/01/2024 21:00,135,5,19
724,02/02/2024 21:00,181,1,19
725,15/01/2024 08:00,186,6,2
726,07/02/2024 09:00,86,1,18
727,30/03/2024 23:00,130,3,4
728,05/01/2024 00:00,119,1,13
729,02/02/2024 12:00,119,1,6
730,25/01/2024 14:00,11,,7
731,10/01/2024 13:00,105,4,9
732,27/03/2024 03:00,106,1,9
733,25/03/2024 05:00,188,6,8
734,03/02/2024 03:00,36,2,15
